dataset,stage,column,dtype,row_count,missing_count,missing_pct,blank_or_null_string_count,non_missing_count,unique_non_missing_count,example_non_missing_values
operation,raw,smr_decrease_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,smr_large_jump_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,smr_present_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,smr_valid_for_utilization_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,smr_negative_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,smr_raw_since_prev_obs_hours,float64,1815979,11074,0.6098,0,1804905,126142,3.566666666666606 | 0.0 | 0.0
operation,raw,smr_delta_clean_since_prev_obs_hours,float64,1815979,11096,0.611,0,1804883,126123,3.566666666666606 | 0.0 | 0.0
operation,raw,activity_actual_working_seconds_raw,float64,1815979,11434,0.6296,0,1804545,49120,7994.0 | 0.0 | 0.0
operation,raw,activity_fuel_consumption_value_raw,float64,1815979,11434,0.6296,0,1804545,104625,84.3125 | 0.0 | 0.0
operation,raw,activity_actual_working_hours_raw,float64,1815979,11434,0.6296,0,1804545,49120,2.2205555555555554 | 0.0 | 0.0
operation,raw,actual_working_hours_clean,float64,1815979,11434,0.6296,0,1804545,49120,2.2205555555555554 | 0.0 | 0.0
operation,raw,actual_work_observed_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,actual_work_day_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 0.0 | 0.0
operation,raw,inactive_actual_work_day_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 1.0 | 1.0
operation,raw,actual_work_missing_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,actual_work_seconds_missing_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,actual_work_seconds_negative_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,actual_work_seconds_over_24h_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,actual_work_seconds_invalid_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,actual_work_valid_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,fuel_active_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 0.0 | 0.0
operation,raw,fuel_actual_work_conflict_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,actual_work_streak_through_current_day,float64,1815979,3122,0.1719,0,1812857,402,4.0 | 0.0 | 0.0
operation,raw,last_actual_work_date_through_current_day,object,1815979,22569,1.2428,0,1793410,943,2023-12-14 | 2024-02-14 | 2024-02-23
operation,raw,days_since_last_actual_work_day_through_current_day,float64,1815979,22569,1.2428,0,1793410,714,0.0 | 1.0 | 2.0
operation,raw,engine_working_seconds_raw,float64,1815979,11475,0.6319,0,1804504,60425,12832.0 | 0.0 | 0.0
operation,raw,engine_actual_working_idling_seconds_raw,float64,1815979,11819,0.6508,0,1804160,33829,4838.0 | 0.0 | 0.0
operation,raw,engine_actual_working_seconds_raw,float64,1815979,11434,0.6296,0,1804545,49120,7994.0 | 0.0 | 0.0
operation,raw,throttle_full_seconds_raw,float64,1815979,22179,1.2213,0,1793800,50177,7738.0 | 0.0 | 0.0
operation,raw,throttle_full_ratio_raw,float64,1815979,22179,1.2213,0,1793800,1001,96.8 | 0.0 | 0.0
operation,raw,throttle_average_dial_position_raw,float64,1815979,22305,1.2283,0,1793674,999,99.2 | 0.0 | 0.0
operation,raw,engine_running_hours_raw,float64,1815979,11475,0.6319,0,1804504,60425,3.5644444444444443 | 0.0 | 0.0
operation,raw,engine_running_seconds_clean,float64,1815979,11475,0.6319,0,1804504,60425,12832.0 | 0.0 | 0.0
operation,raw,engine_running_hours_clean,float64,1815979,11475,0.6319,0,1804504,60425,3.5644444444444443 | 0.0 | 0.0
operation,raw,engine_seconds_observed_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,engine_running_day_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 0.0 | 0.0
operation,raw,engine_seconds_missing_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,engine_seconds_negative_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,engine_seconds_over_24h_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,engine_seconds_invalid_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,engine_seconds_valid_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,engine_idling_seconds_clean,float64,1815979,11819,0.6508,0,1804160,33829,4838.0 | 0.0 | 0.0
operation,raw,engine_idling_hours_clean,float64,1815979,11819,0.6508,0,1804160,33829,1.343888888888889 | 0.0 | 0.0
operation,raw,engine_idle_share_daily,float64,1815979,909973,50.1092,0,906006,818913,0.3770261845386534 | 0.6057170425762876 | 0.435458139696192
operation,raw,engine_idling_observed_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,engine_idling_seconds_invalid_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,throttle_full_seconds_clean,float64,1815979,22179,1.2213,0,1793800,50177,7738.0 | 0.0 | 0.0
operation,raw,throttle_full_hours_clean,float64,1815979,22179,1.2213,0,1793800,50177,2.1494444444444443 | 0.0 | 0.0
operation,raw,throttle_full_engine_share_daily,float64,1815979,912588,50.2532,0,903391,807928,0.6030236907730673 | 0.3863828247497286 | 0.5622528958868003
operation,raw,throttle_full_pct_clean,float64,1815979,22179,1.2213,0,1793800,1001,96.8 | 0.0 | 0.0
operation,raw,throttle_full_share_clean,float64,1815979,22179,1.2213,0,1793800,1001,0.968 | 0.0 | 0.0
operation,raw,throttle_average_dial_position_clean,float64,1815979,22305,1.2283,0,1793674,999,99.2 | 0.0 | 0.0
operation,raw,throttle_observed_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 1.0 | 1.0
operation,raw,throttle_full_ratio_invalid_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,throttle_invalid_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,high_throttle_day_flag,float64,1815979,3122,0.1719,0,1812857,2,1.0 | 0.0 | 0.0
operation,raw,long_engine_day_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,actual_working_seconds_helper_clean,float64,1815979,11434,0.6296,0,1804545,49120,7994.0 | 0.0 | 0.0
operation,raw,actual_working_hours_helper_clean,float64,1815979,11434,0.6296,0,1804545,49120,2.2205555555555554 | 0.0 | 0.0
operation,raw,work_idle_sum_exceeds_engine_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,idle_exceeds_engine_flag,float64,1815979,3122,0.1719,0,1812857,1,0.0 | 0.0 | 0.0
operation,raw,throttle_full_exceeds_engine_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,usage_traveling_seconds_raw,float64,1815979,8894,0.4898,0,1807085,48368,7934.0 | 0.0 | 0.0
operation,raw,usage_moving_back_and_forth_seconds_raw,float64,1815979,541599,29.8241,0,1274380,18759,4532.0 | 0.0 | 0.0
operation,raw,usage_steering_seconds_raw,float64,1815979,8914,0.4909,0,1807065,30227,4006.0 | 0.0 | 0.0
operation,raw,travel_working_seconds_raw,float64,1815979,8932,0.4919,0,1807047,60447,12832.0 | 0.0 | 0.0
operation,raw,traveling_mode_auto_or_quick_shift_seconds_raw,float64,1815979,37165,2.0466,0,1778814,35065,7920.0 | 0.0 | 0.0
operation,raw,traveling_mode_manual_or_variable_shift_seconds_raw,float64,1815979,80719,4.4449,0,1735260,37795,0.0 | 0.0 | 0.0
